cell_id,POS,unimorph
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.SBJV.FUT,V,ARGNO2P;ARGAC1P;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.SBJV.FUT,V,ARGNO3P;ARGAC1P;SBJV;FUT
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.SBJV.FUT,V,ARGNO1S;ARGAC2P;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.SBJV.FUT,V,ARGNO3S;ARGAC2P;SBJV;FUT
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.SBJV.FUT,V,ARGNO1P;ARGAC2P;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.SBJV.FUT,V,ARGNO3P;ARGAC2P;SBJV;FUT
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO1S;ARGAC3P;SBJV;FUT
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO2S;ARGAC3P;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO3S;ARGAC3P;SBJV;FUT
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO1P;ARGAC3P;SBJV;FUT
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO2P;ARGAC3P;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.SBJV.FUT,V,ARGNO3P;ARGAC3P;SBJV;FUT
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.present-perfect,V,ARGNO2S;ARGAC1S;IND;PRF
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.present-perfect,V,ARGNO3S;ARGAC1S;IND;PRF
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.present-perfect,V,ARGNO2P;ARGAC1S;IND;PRF
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.present-perfect,V,ARGNO3P;ARGAC1S;IND;PRF
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.present-perfect,V,ARGNO1S;ARGAC2S;IND;PRF
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.present-perfect,V,ARGNO3S;ARGAC2S;IND;PRF
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.present-perfect,V,ARGNO1P;ARGAC2S;IND;PRF
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.present-perfect,V,ARGNO3P;ARGAC2S;IND;PRF
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.present-perfect,V,ARGNO1S;ARGAC3S;IND;PRF
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.present-perfect,V,ARGNO2S;ARGAC3S;IND;PRF
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.present-perfect,V,ARGNO3S;ARGAC3S;IND;PRF
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.present-perfect,V,ARGNO1P;ARGAC3S;IND;PRF
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.present-perfect,V,ARGNO2P;ARGAC3S;IND;PRF
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.present-perfect,V,ARGNO3P;ARGAC3S;IND;PRF
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.present-perfect,V,ARGNO2S;ARGAC1P;IND;PRF
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.present-perfect,V,ARGNO3S;ARGAC1P;IND;PRF
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.present-perfect,V,ARGNO2P;ARGAC1P;IND;PRF
